event_type,symbol,direction,stage,entry,close_price,time_open,time_close,size,result,status,sl,tp,is_probe,fee,pnl_pct,r_value,reason,time_open_human,time_close_human
open,BNB/USDT,LONG,probe,1138.73,,1760631383.8427691,,0.007025370368744127,,open,1129.85893,1146.6154,True,0.0,,,sideway_entry,16/10/2025 23:16,
open,TRX/USDT,LONG,probe,0.3178,,1760631383.8427691,,25.173064820641912,,open,0.31694,0.31856,True,0.0,,,sideway_entry,16/10/2025 23:16,
open,BNB/USDT,LONG,probe,1137.49,,1760631428.8682137,,0.007033028861792192,,open,1128.61893,1145.3754,True,0.0,,,sideway_entry,16/10/2025 23:17,
open,TRX/USDT,LONG,probe,0.3175,,1760631428.8682137,,25.196850393700785,,open,0.31663,0.31827,True,0.0,,,sideway_entry,16/10/2025 23:17,
open,BNB/USDT,LONG,probe,1139.44,,1760631473.8949592,,0.007020992768377448,,open,1130.56893,1147.3254,True,0.0,,,sideway_entry,16/10/2025 23:17,
open,TRX/USDT,LONG,probe,0.3176,,1760631473.8949592,,25.188916876574307,,open,0.31673,0.31837,True,0.0,,,sideway_entry,16/10/2025 23:17,
open,BNB/USDT,LONG,probe,1137.99,,1760631518.9150627,,0.007029938751658626,,open,1129.11893,1145.8754,True,0.0,,,sideway_entry,16/10/2025 23:18,
open,TRX/USDT,LONG,probe,0.3176,,1760631518.9150627,,25.188916876574307,,open,0.31673,0.31837,True,0.0,,,sideway_entry,16/10/2025 23:18,
open,BNB/USDT,LONG,probe,1130.66,,1760631563.9419734,,0.007075513416942316,,open,1121.35371,1138.93225,True,0.0,,,sideway_entry,16/10/2025 23:19,
open,TRX/USDT,LONG,probe,0.3174,,1760631563.9419734,,25.20478890989288,,open,0.31653,0.31818,True,0.0,,,sideway_entry,16/10/2025 23:19,
open,BNB/USDT,LONG,probe,1133.02,,1760631608.9634728,,0.007060775626202539,,open,1123.71371,1141.29225,True,0.0,,,sideway_entry,16/10/2025 23:20,
open,TRX/USDT,LONG,probe,0.3176,,1760631608.9634728,,25.188916876574307,,open,0.31673,0.31838,True,0.0,,,sideway_entry,16/10/2025 23:20,
close,BNB/USDT,LONG,probe,1138.73,1132.96,1760631383.8427691,1760631653.9664714,0.007025370368744127,-0.04692017247284242,REVERSE,1129.85893,1146.6154,True,0.006383785445188938,-0.04692017247284242,,reverse_signal,16/10/2025 23:16,16/10/2025 23:20
close,BNB/USDT,LONG,probe,1137.49,1132.96,1760631428.8682137,1760631653.9664714,0.007033028861792192,-0.03824687689562087,REVERSE,1128.61893,1145.3754,True,0.006387256151702433,-0.03824687689562087,,reverse_signal,16/10/2025 23:17,16/10/2025 23:20
close,BNB/USDT,LONG,probe,1139.44,1132.96,1760631473.8949592,1760631653.9664714,0.007020992768377448,-0.05187783472583036,REVERSE,1130.56893,1147.3254,True,0.006381801586744366,-0.05187783472583036,,reverse_signal,16/10/2025 23:17,16/10/2025 23:20
close,BNB/USDT,LONG,probe,1137.99,1132.96,1760631518.9150627,1760631653.9664714,0.007029938751658626,-0.04174644768407436,REVERSE,1129.11893,1145.8754,True,0.006385855763231663,-0.04174644768407436,,reverse_signal,16/10/2025 23:18,16/10/2025 23:20
close,BNB/USDT,LONG,probe,1130.66,1132.96,1760631563.9419734,1760631653.9664714,0.007075513416942316,0.009867171386623418,REVERSE,1121.35371,1138.93225,True,0.0064065094723435865,0.009867171386623418,,reverse_signal,16/10/2025 23:19,16/10/2025 23:20
close,BNB/USDT,LONG,probe,1133.02,1132.96,1760631608.9634728,1760631653.9664714,0.007060775626202539,-0.006823477078956739,REVERSE,1123.71371,1141.29225,True,0.006399830541384972,-0.00682347707895674,,reverse_signal,16/10/2025 23:20,16/10/2025 23:20
open,TRX/USDT,LONG,probe,0.3176,,1760631653.9664714,,25.14464795025927,,open,0.31673,0.31838,True,0.0,,,sideway_entry,16/10/2025 23:20,
open,TRX/USDT,LONG,probe,0.3179,,1760631698.9811106,,25.120919122372896,,open,0.31703,0.31868,True,0.0,,,sideway_entry,16/10/2025 23:21,
open,TRX/USDT,LONG,probe,0.3179,,1760631725.9716535,,25.165146272412706,,open,0.31703,0.31868,True,0.0,,,sideway_entry,16/10/2025 23:22,
open,TRX/USDT,LONG,probe,0.3181,,1760631770.9919918,,25.149324111914492,,open,0.31723,0.31888,True,0.0,,,sideway_entry,16/10/2025 23:22,
open,TRX/USDT,LONG,probe,0.3182,,1760631816.017428,,25.1414204902577,,open,0.31733,0.31898,True,0.0,,,sideway_entry,16/10/2025 23:23,
open,TRX/USDT,LONG,probe,0.3181,,1760631861.0361662,,25.149324111914492,,open,0.31723,0.31888,True,0.0,,,sideway_entry,16/10/2025 23:24,
open,TRX/USDT,LONG,probe,0.3182,,1760631906.0384312,,25.1414204902577,,open,0.31733,0.31898,True,0.0,,,sideway_entry,16/10/2025 23:25,
open,TRX/USDT,LONG,probe,0.3181,,1760631951.0686634,,25.149324111914492,,open,0.31723,0.31888,True,0.0,,,sideway_entry,16/10/2025 23:25,
open,TRX/USDT,LONG,probe,0.3178,,1760631996.0990446,,25.173064820641912,,open,0.31693,0.31858,True,0.0,,,sideway_entry,16/10/2025 23:26,
open,TRX/USDT,LONG,probe,0.318,,1760632041.118157,,25.157232704402514,,open,0.31713,0.31878,True,0.0,,,sideway_entry,16/10/2025 23:27,
close,TRX/USDT,LONG,probe,0.3179,0.3185,1760631725.9716535,1760632086.1344204,25.165146272412706,0.008693048128341978,REVERSE,0.31703,0.31868,True,0.006406039635105379,0.008693048128341978,,reverse_signal,16/10/2025 23:22,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3181,0.3185,1760631770.9919918,1760632086.1344204,25.149324111914492,0.003655705752908177,REVERSE,0.31723,0.31888,True,0.006404023891857907,0.0036557057529081776,,reverse_signal,16/10/2025 23:22,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3182,0.3185,1760631816.017428,1760632086.1344204,25.1414204902577,0.0011394091766190433,REVERSE,0.31733,0.31898,True,0.006403016970458832,0.0011394091766190433,,reverse_signal,16/10/2025 23:23,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3181,0.3185,1760631861.0361662,1760632086.1344204,25.149324111914492,0.003655705752908177,REVERSE,0.31723,0.31888,True,0.006404023891857907,0.0036557057529081776,,reverse_signal,16/10/2025 23:24,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3182,0.3185,1760631906.0384312,1760632086.1344204,25.1414204902577,0.0011394091766190433,REVERSE,0.31733,0.31898,True,0.006403016970458832,0.0011394091766190433,,reverse_signal,16/10/2025 23:25,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3181,0.3185,1760631951.0686634,1760632086.1344204,25.149324111914492,0.003655705752908177,REVERSE,0.31723,0.31888,True,0.006404023891857907,0.0036557057529081776,,reverse_signal,16/10/2025 23:25,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.3178,0.3185,1760631996.0990446,1760632086.1344204,25.173064820641912,0.011214096916299016,REVERSE,0.31693,0.31858,True,0.0064070484581497805,0.011214096916299016,,reverse_signal,16/10/2025 23:26,16/10/2025 23:28
close,TRX/USDT,LONG,probe,0.318,0.3185,1760632041.118157,1760632086.1344204,25.157232704402514,0.006173584905660385,REVERSE,0.31713,0.31878,True,0.006405031446540882,0.006173584905660385,,reverse_signal,16/10/2025 23:27,16/10/2025 23:28
open,BNB/USDT,LONG,probe,1132.55,,1760632266.2543433,,0.007066483716608521,,open,1123.59216,1140.51252,True,0.0,,,sideway_entry,16/10/2025 23:31,
close,BNB/USDT,LONG,probe,1132.55,1133.49,1760632266.2543433,1760632311.2870803,0.007066483716608521,0.00023732078913896604,REVERSE,1123.59216,1140.51252,True,0.006405173904473429,0.00023732078913896604,,reverse_signal,16/10/2025 23:31,16/10/2025 23:31
